hour,PGPH5,PGPH2,SH,RVRTB,GRN
0,5,0,24,0,6
1,0,0,3,0,2
2,0,0,3,0,1
3,0,0,0,0,6
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,2,0,14,0,9
8,17,1,0,0,12
9,5,3,0,0,21
10,0,12,2,0,42
11,5,1,14,2,37
12,0,0,29,6,72
13,0,0,63,1,84
14,8,33,7,1,50
15,3,0,4,1,37
16,4,6,1,5,40
17,3,6,11,0,64
18,0,8,7,8,74
19,9,0,5,9,57
20,0,3,10,0,69
21,17,0,22,0,48
22,0,0,2,8,27
23,0,4,0,0,36
24,78,77,221,41,794
