dorm,type,value
GRN,uniqueDevices,2806
GRN,stayHome,3136
GRN,changeLevel,108
GRN,localNeighborhood,9064
GRN,campus,1588
GRN,leftCampus,888
PGPH2,uniqueDevices,230
PGPH2,stayHome,322
PGPH2,changeLevel,20
PGPH2,localNeighborhood,100
PGPH2,campus,154
PGPH2,leftCampus,108
PGPH5,uniqueDevices,116
PGPH5,stayHome,140
PGPH5,changeLevel,8
PGPH5,localNeighborhood,98
PGPH5,campus,156
PGPH5,leftCampus,62
SH,uniqueDevices,1466
SH,stayHome,1466
SH,changeLevel,288
SH,localNeighborhood,408
SH,campus,442
SH,leftCampus,778
RVRTB,uniqueDevices,782
RVRTB,stayHome,810
RVRTB,changeLevel,122
RVRTB,localNeighborhood,280
RVRTB,campus,82
RVRTB,leftCampus,480
