name,parent,value
ARTSCTN,4d8b,3577
S5,5a3b,1839
MD1,5a3b,493
S15,f81e,2796
UT-BS,450f,473
GRS,450f,180
E1A,450f,164
EA,450f,317
CREATE,450f,104
E5,07d8,3585
IT,4fba,3435
YNCRC1,1b35,3540
YNCRC1,684e,3583
RC4,feba,1435
E3A,63d5,105
E4A,63d5,639
E6,63d5,139
EA,63d5,2385
T-LAB,63d5,266
MD4,1ca4,3143
CRECTN,d913,1021
UT-BS,d913,503
UHALL-BS,d913,106
GRS,d913,775
S12,d913,859
S13,d913,52
CREATE,d913,115
OUHC-BS,d913,91
ERC,8d39,3429
S4,ed1c,2556
E6,7504,632
OYIH-BS,7504,521
RH-BS,7627,1066
E3A,7627,30
YNCRC1,2a4b,18
UT-BS,a009,6
CREATE,a009,3540
UT-BS,815b,829
CREATE,815b,151
UTSRC,815b,17
MD6,dfda,3456
MD6,c7d4,3365
MD1,7c67,3398
YNCRC1,c510,2854
S8,7c2a,3448
T-LAB,ca06,3200
E3,ca06,292
MD6,ab66,2307
YNCRC2,3991,3492
AS3,4902,3520
RC4,9324,3597
E3A,359a,3589
YNCRC1,cc98,3587
CNM,42ee,3151
AS4,dd4e,3544
CELC,bb5e,2638
AS6,f845,1993
IT-BS,bf3e,558
S17-BS,bf3e,314
BIZ1,ea66,3290
EW1,dc80,3573
E3A,a2c8,2615
SDE1,ea66,219
KV-BS,ecd9,1371
AS2,ecd9,1443
SDE4,ecd9,563
IT,a9cf,1022
E4,a9cf,1253
YNCRC3,44da,3398
YNCRC1,9eef,1222
YNCRC1,4934,3565
YNCEC,1e92,3044
E3,2d77,3470
BIZ1,8a4f,3208
KV-BS,80d2,928
S7,5199,1157
CRECTN,ff31,770
CREATE,ff31,1677
GRN,ff31,74
ERC,ff31,1023
KRT-BS,ba13,442
TBS,19eb,1265
SH,497a,3208
MD1,29bb,3587
UH,1e7d,3204
HSSML,2a04,61
BIZ1,2a04,458
OHSSL-BS,2a04,58
TCOMS,2a04,72
PGP-BS,2a04,2869
E1,6ef6,776
USC,6ef6,87
OUHC-BS,6ef6,94
YIH-BS,6ef6,2630
YNCRC2,a1ad,840
MD6,3bb2,624
YNCRC1,04e3,3583
YNCRC1,6749,128
ERC,6749,283
YNCRC3,6749,2570
MD10,38f3,3575
EHALL,2c44,1685
MD6,5bbd,3530
YNCRC2,3b89,3336
EA,b8fe,3522
UTSRC,6d69,2883
BIZ1,3c34,3400
BIZ1,8fd7,712
BIZ1,eb20,3538
YNCRC1,08bb,1954
E2,9b0b,1806
YNCRC2,cd33,86
BIZ1,9092,3022
CNLIB,54ae,1100
HSSML,e2b0,3427
VENT,cab5,2638
MD6,b3a7,3462
BIZ1,6691,3524
YNCRC2,e703,127
YNCRC1,e703,1971
YNCEC,e703,116
IT,5f46,1564
RC4,cfd7,1928
UT-BS,dff9,10
CREATE,dff9,70
GRS,dff9,1488
YNCRC1,5f1e,3462
E1,bb14,3560
BIZ1,86aa,3571
CREATE,eb44,395
GRS,eb44,55
YNCRC1,64ff,3303
UT-BS,9e3c,175
AS8,9e3c,38
AS8-BS,9e3c,185
ERC,9e3c,2340
AS4,9e3c,177
AS2,9e3c,403
CREATE,9e3c,121
