hour,GRN,PGPH5,PGPH2,RVRTB,SH
0,0,0,0,0,0
1,1,1,1,6,7
2,0,1,1,2,2
3,1,1,1,3,3
4,0,1,1,4,4
5,0,1,1,3,3
6,0,1,1,3,3
7,0,1,1,6,2
8,3,1,1,4,4
9,6,2,2,7,9
10,4,3,1,7,8
11,13,2,3,12,9
12,17,1,4,14,12
13,31,1,4,14,23
14,25,1,6,14,17
15,33,1,5,15,18
16,30,1,3,14,11
17,58,1,6,20,27
18,57,1,1,19,24
19,53,0,2,27,23
20,33,1,2,20,25
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,365,23,47,214,234
