hour,SH,PGPH5,RVRTB,PGPH2,GRN
0,0,0,0,0,1
1,1,0,0,0,3
2,0,0,0,0,1
3,2,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,5
7,9,13,0,0,6
8,13,4,0,10,18
9,0,0,0,0,23
10,3,1,1,5,34
11,2,11,0,0,37
12,8,5,16,0,55
13,24,4,12,0,30
14,30,1,0,11,27
15,19,0,1,1,19
16,0,0,1,4,26
17,11,2,0,10,50
18,4,0,1,1,48
19,1,0,9,1,57
20,3,27,11,7,32
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,130,68,52,50,472
