 hour, # unique devices, # stay at home, # change level, # local neighbourhood, # campus, # left campus ,day
0,1,1,0,0,0,0,8
1,1,0,1,0,0,1,8
2,1,1,0,0,0,1,8
3,1,1,0,0,0,1,8
4,1,1,0,0,0,1,8
5,1,1,0,0,0,1,8
6,1,1,0,0,0,1,8
7,2,2,0,0,0,1,8
8,6,8,0,7,10,1,8
9,4,4,1,0,0,2,8
10,3,5,0,0,5,1,8
11,4,6,2,0,0,3,8
12,6,8,1,0,0,4,8
13,5,5,1,2,0,4,8
14,11,26,0,12,11,6,8
15,10,21,1,0,1,5,8
16,9,12,1,3,4,3,8
17,10,22,0,7,10,6,8
18,4,7,0,4,1,1,8
19,4,5,0,1,1,2,8
20,5,6,0,6,7,2,8
21,0,0,0,0,0,0,8
22,0,0,0,0,0,0,8
23,0,0,0,0,0,0,8
24,90,143,8,42,50,47,8
0,1,1,0,0,0,0,7
1,1,0,1,0,0,1,7
2,1,1,0,0,0,1,7
3,2,2,0,0,0,1,7
4,2,1,1,0,0,2,7
5,2,2,0,0,0,2,7
6,2,2,0,0,0,2,7
7,3,6,0,0,0,2,7
8,5,4,1,5,1,1,7
9,9,13,0,0,3,2,7
10,17,24,2,17,12,4,7
11,6,7,1,1,1,3,7
12,7,6,1,2,0,5,7
13,6,8,0,0,0,5,7
14,7,11,0,4,33,3,7
15,9,16,1,3,0,7,7
16,7,11,0,2,6,4,7
17,4,5,0,2,6,1,7
18,6,12,0,1,8,3,7
19,6,11,1,4,0,1,7
20,6,9,1,3,3,1,7
21,2,4,0,1,0,1,7
22,2,2,0,0,0,1,7
23,2,3,0,5,4,1,7
24,115,161,10,50,77,54,7
0,2,3,0,0,0,0,5
1,2,3,1,0,0,1,5
2,2,2,0,0,0,1,5
3,2,2,0,0,0,2,5
4,2,3,0,1,0,2,5
5,2,3,0,0,0,1,5
6,2,2,0,0,0,1,5
7,3,3,0,3,4,2,5
8,2,3,0,1,0,2,5
9,1,1,0,0,0,1,5
10,1,1,0,0,0,1,5
11,2,2,0,3,0,1,5
12,2,4,0,1,1,1,5
13,2,1,1,3,1,0,5
14,2,2,0,0,1,1,5
15,2,4,0,1,1,1,5
16,3,4,0,0,3,1,5
17,5,8,0,1,2,1,5
18,3,6,1,0,0,2,5
19,3,3,0,1,3,1,5
20,2,4,0,0,0,2,5
21,3,3,0,0,0,1,5
22,3,5,1,0,0,3,5
23,3,3,0,4,3,1,5
24,56,75,4,19,19,30,5
0,2,3,0,0,0,0,6
1,4,2,2,3,6,1,6
2,4,5,0,3,0,2,6
3,3,4,0,0,0,1,6
4,3,2,1,0,0,3,6
5,2,2,0,0,0,2,6
6,3,3,0,0,0,3,6
7,3,4,0,1,6,2,6
8,3,3,0,7,4,1,6
9,6,7,0,3,1,2,6
10,5,3,2,1,6,2,6
11,6,8,1,2,18,4,6
12,5,3,2,0,0,4,6
13,6,6,0,0,3,5,6
14,15,29,0,16,30,8,6
15,6,5,2,0,0,3,6
16,8,21,0,3,6,7,6
17,5,8,0,3,0,2,6
18,5,5,0,2,13,2,6
19,6,7,1,5,2,4,6
20,3,7,0,1,0,2,6
21,3,5,0,8,0,1,6
22,3,2,1,1,0,2,6
23,2,2,0,0,0,2,6
24,111,146,12,59,95,65,6
