hour,GRN,PGPH2,PGPH5,RVRTB,SH
0,2,0,4,7,12
1,6,0,5,0,0
2,0,0,0,0,2
3,1,0,0,0,0
4,0,0,0,0,2
5,16,0,7,0,0
6,0,0,0,0,0
7,0,4,2,0,0
8,17,0,0,0,0
9,53,0,0,1,13
10,37,0,0,0,0
11,46,0,14,0,9
12,81,1,3,20,23
13,259,1,4,25,12
14,70,1,10,6,10
15,129,1,0,4,11
16,206,3,6,1,19
17,198,2,3,19,13
18,175,0,2,7,2
19,98,3,6,0,5
20,137,0,4,0,9
21,94,0,0,4,24
22,75,0,6,15,16
23,27,3,4,1,4
24,1727,19,80,110,186
