dorm,day,hour,uniqueDevices
PGPH5,6,2,2
PGPH5,6,3,2
PGPH5,6,4,1
PGPH5,6,5,2
PGPH5,6,6,1
PGPH5,6,7,3
PGPH5,6,8,5
PGPH5,6,9,8
PGPH5,6,10,12
PGPH5,6,11,13
PGPH5,6,12,14
PGPH5,6,13,10
PGPH5,6,14,9
PGPH5,6,15,13
PGPH5,6,16,10
PGPH5,6,17,18
PGPH5,6,18,16
PGPH5,6,19,11
PGPH5,6,20,12
PGPH5,6,21,15
PGPH5,6,22,8
PGPH5,6,23,4
PGPH5,6,24,192
SH,8,0,22
SH,8,1,16
SH,8,2,9
SH,8,3,8
SH,8,4,7
SH,8,5,3
SH,8,6,5
SH,8,7,11
SH,8,8,23
SH,8,9,24
SH,8,10,19
SH,8,11,27
SH,8,12,35
SH,8,13,45
SH,8,14,30
SH,8,15,29
SH,8,16,16
SH,8,17,39
SH,8,18,37
SH,8,19,43
SH,8,20,36
SH,8,21,0
SH,8,22,0
SH,8,23,0
SH,8,24,484
RVRTB,8,0,18
RVRTB,8,1,12
RVRTB,8,2,6
RVRTB,8,3,6
RVRTB,8,4,4
RVRTB,8,5,4
RVRTB,8,6,3
RVRTB,8,7,9
RVRTB,8,8,15
RVRTB,8,9,14
RVRTB,8,10,18
RVRTB,8,11,17
RVRTB,8,12,22
RVRTB,8,13,26
RVRTB,8,14,19
RVRTB,8,15,22
RVRTB,8,16,17
RVRTB,8,17,25
RVRTB,8,18,28
RVRTB,8,19,38
RVRTB,8,20,22
RVRTB,8,21,0
RVRTB,8,22,0
RVRTB,8,23,0
RVRTB,8,24,345
PGPH5,5,0,4
PGPH5,5,1,3
PGPH5,5,2,1
PGPH5,5,3,1
PGPH5,5,4,1
PGPH5,5,5,2
PGPH5,5,6,1
PGPH5,5,7,2
PGPH5,5,8,2
PGPH5,5,9,4
PGPH5,5,10,5
PGPH5,5,11,8
PGPH5,5,12,10
PGPH5,5,13,8
PGPH5,5,14,10
PGPH5,5,15,7
PGPH5,5,16,9
PGPH5,5,17,11
PGPH5,5,18,9
PGPH5,5,19,10
PGPH5,5,20,9
PGPH5,5,21,9
PGPH5,5,22,9
PGPH5,5,23,9
PGPH5,5,24,144
PGPH5,7,0,2
PGPH5,7,1,1
PGPH5,7,2,1
PGPH5,7,3,1
PGPH5,7,4,1
PGPH5,7,5,1
PGPH5,7,6,1
PGPH5,7,7,2
PGPH5,7,8,5
PGPH5,7,9,5
PGPH5,7,10,6
PGPH5,7,11,4
PGPH5,7,12,2
PGPH5,7,13,1
PGPH5,7,14,5
PGPH5,7,15,3
PGPH5,7,16,4
PGPH5,7,17,2
PGPH5,7,18,3
PGPH5,7,19,2
PGPH5,7,20,1
PGPH5,7,21,3
PGPH5,7,22,1
PGPH5,7,23,1
PGPH5,7,24,58
SH,7,0,21
SH,7,1,18
SH,7,2,14
SH,7,3,8
SH,7,4,6
SH,7,5,5
SH,7,6,4
SH,7,7,11
SH,7,8,18
SH,7,9,41
SH,7,10,31
SH,7,11,37
SH,7,12,51
SH,7,13,61
SH,7,14,44
SH,7,15,48
SH,7,16,38
SH,7,17,50
SH,7,18,43
SH,7,19,62
SH,7,20,35
SH,7,21,32
SH,7,22,32
SH,7,23,23
SH,7,24,733
PGPH2,5,0,2
PGPH2,5,1,2
PGPH2,5,2,2
PGPH2,5,3,2
PGPH2,5,4,2
PGPH2,5,5,2
PGPH2,5,6,2
PGPH2,5,7,3
PGPH2,5,8,2
PGPH2,5,9,1
PGPH2,5,10,1
PGPH2,5,11,2
PGPH2,5,12,2
PGPH2,5,13,2
PGPH2,5,14,2
PGPH2,5,15,2
PGPH2,5,16,3
PGPH2,5,17,5
PGPH2,5,18,3
PGPH2,5,19,3
PGPH2,5,20,2
PGPH2,5,21,3
PGPH2,5,22,3
PGPH2,5,23,3
PGPH2,5,24,56
GRN,6,0,41
GRN,6,1,28
GRN,6,2,11
GRN,6,3,9
GRN,6,4,6
GRN,6,5,2
GRN,6,6,3
GRN,6,7,17
GRN,6,8,59
GRN,6,9,84
GRN,6,10,83
GRN,6,11,127
GRN,6,12,158
GRN,6,13,144
GRN,6,14,121
GRN,6,15,107
