hour,GRN,PGPH2,PGPH5,RVRTB,SH
0,1,0,0,0,0
1,3,0,0,0,1
2,1,0,0,0,0
3,0,0,0,0,2
4,0,0,0,0,0
5,0,0,0,0,0
6,5,0,0,0,0
7,6,0,13,0,9
8,18,10,4,0,13
9,23,0,0,0,0
10,34,5,1,1,3
11,37,0,11,0,2
12,55,0,5,16,8
13,30,0,4,12,24
14,27,11,1,0,30
15,19,1,0,1,19
16,26,4,0,1,0
17,50,10,2,0,11
18,48,1,0,1,4
19,57,1,0,9,1
20,32,7,27,11,3
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,472,50,68,52,130
