hour,GRN,PGPH2,PGPH5,RVRTB,SH
0,6,0,5,0,24
1,2,0,0,0,3
2,1,0,0,0,3
3,6,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,9,0,2,0,14
8,12,1,17,0,0
9,21,3,5,0,0
10,42,12,0,0,2
11,37,1,5,2,14
12,72,0,0,6,29
13,84,0,0,1,63
14,50,33,8,1,7
15,37,0,3,1,4
16,40,6,4,5,1
17,64,6,3,0,11
18,74,8,0,8,7
19,57,0,9,9,5
20,69,3,0,0,10
21,48,0,17,0,22
22,27,0,0,8,2
23,36,4,0,0,0
24,794,77,78,41,221
