hour,PGPH2,PGPH5,SH,RVRTB,GRN
0,3,1,39,18,45
1,2,1,17,9,29
2,5,2,29,9,13
3,4,2,10,11,10
4,2,1,8,7,7
5,2,2,6,8,2
6,3,1,7,5,3
7,4,6,17,9,17
8,3,6,17,17,58
9,7,7,44,29,89
10,3,8,49,44,89
11,8,18,47,47,133
12,3,16,58,35,170
13,6,9,57,50,148
14,29,14,56,44,124
15,5,20,56,54,117
16,21,8,59,46,132
17,8,20,41,40,134
18,5,19,62,41,169
19,7,14,68,46,172
20,7,18,55,25,119
21,5,16,51,32,100
22,2,8,42,20,71
23,2,5,25,15,61
24,146,222,920,661,2012
