hour,GRN,PGPH5,PGPH2,RVRTB,SH
0,47,6,3,24,24
1,20,2,3,3,13
2,16,1,2,7,18
3,2,1,2,4,5
4,13,1,3,2,7
5,7,2,3,0,10
6,3,1,2,0,6
7,4,2,3,2,5
8,28,2,3,3,4
9,64,3,1,10,8
10,67,5,1,7,12
11,90,5,2,17,10
12,179,13,4,25,23
13,322,7,1,32,22
14,159,9,2,33,24
15,114,6,4,28,31
16,199,10,4,34,29
17,185,12,8,49,26
18,186,10,6,31,34
19,173,10,3,33,36
20,134,11,4,23,40
21,86,9,3,30,21
22,101,11,5,29,35
23,53,14,3,26,33
24,2252,153,75,452,476
