hour,GRN,SH,RVRTB,PGPH2,PGPH5
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,1,0,0,0,0
12,1,0,0,0,0
13,2,0,1,0,0
14,1,0,1,0,0
15,2,1,1,0,0
16,2,1,1,0,0
17,2,1,1,0,0
18,2,1,1,0,0
19,3,1,1,0,0
20,2,1,0,0,0
21,2,0,1,0,0
22,2,1,1,0,0
23,1,0,1,0,0
24,25,9,11,1,4
