hour,SH,PGPH5,RVRTB,PGPH2,GRN
0,12,4,7,0,2
1,0,5,0,0,6
2,2,0,0,0,0
3,0,0,0,0,1
4,2,0,0,0,0
5,0,7,0,0,16
6,0,0,0,0,0
7,0,2,0,4,0
8,0,0,0,0,17
9,13,0,1,0,53
10,0,0,0,0,37
11,9,14,0,0,46
12,23,3,20,1,81
13,12,4,25,1,259
14,10,10,6,1,70
15,11,0,4,1,129
16,19,6,1,3,206
17,13,3,19,2,198
18,2,2,7,0,175
19,5,6,0,3,98
20,9,4,0,0,137
21,24,0,4,0,94
22,16,6,15,0,75
23,4,4,1,3,27
24,186,80,110,19,1727
