hour,GRN,SH,RVRTB,PGPH2,PGPH5
0,0,0,0,0,0
1,0,4,8,1,1
2,2,5,5,1,1
3,0,5,3,2,1
4,1,2,3,2,1
5,1,3,0,1,1
6,0,1,0,1,1
7,0,2,0,2,1
8,1,3,0,2,1
9,7,3,0,1,2
10,3,2,2,1,2
11,13,6,10,1,2
12,20,9,9,1,6
13,50,6,13,0,5
14,26,11,21,1,7
15,53,14,24,1,6
16,48,16,15,1,6
17,52,14,26,1,9
18,53,21,20,2,5
19,71,16,26,1,7
20,51,23,11,2,6
21,37,11,17,1,9
22,43,14,19,3,6
23,27,9,15,1,6
24,559,200,247,30,92
