hour,SH,PGPH5,RVRTB,PGPH2,GRN
0,0,0,0,0,1
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,1
9,0,0,0,0,1
10,0,0,0,0,1
11,0,0,0,0,2
12,0,0,0,0,4
13,0,0,0,0,7
14,0,0,0,0,3
15,0,0,0,0,2
16,0,0,0,0,4
17,0,0,0,0,5
18,0,0,0,0,4
19,0,0,0,0,4
20,0,0,0,0,2
21,0,0,0,0,1
22,0,0,0,0,1
23,0,0,0,0,1
24,1,1,1,0,47
