hour,SH,PGPH5,RVRTB,PGPH2,GRN
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,1
10,0,0,0,0,1
11,0,0,0,0,1
12,1,0,0,0,2
13,0,0,1,0,6
14,0,0,0,0,2
15,0,0,0,0,3
16,0,0,0,0,5
17,0,0,0,0,5
18,0,0,0,0,4
19,0,0,0,0,2
20,0,0,0,0,3
21,1,0,0,0,2
22,0,0,0,0,2
23,0,0,0,0,1
24,4,2,3,0,41
