dorm,type,value
RVRTB,uniqueDevices,934
RVRTB,stayHome,904
RVRTB,changeLevel,166
RVRTB,localNeighborhood,356
RVRTB,campus,220
RVRTB,leftCampus,494
SH,uniqueDevices,992
SH,stayHome,952
SH,changeLevel,164
SH,localNeighborhood,276
SH,campus,372
SH,leftCampus,400
PGPH2,uniqueDevices,112
PGPH2,stayHome,150
PGPH2,changeLevel,8
PGPH2,localNeighborhood,38
PGPH2,campus,38
PGPH2,leftCampus,60
PGPH5,uniqueDevices,288
PGPH5,stayHome,306
PGPH5,changeLevel,22
PGPH5,localNeighborhood,214
PGPH5,campus,160
PGPH5,leftCampus,184
GRN,uniqueDevices,4026
GRN,stayHome,4504
GRN,changeLevel,94
GRN,localNeighborhood,13664
GRN,campus,3454
GRN,leftCampus,1118
