hour,SH,PGPH5,RVRTB,PGPH2,GRN
0,12,2,2,0,99
1,2,6,0,0,48
2,1,0,0,0,29
3,0,0,0,0,2
4,0,0,0,1,26
5,2,6,0,0,15
6,0,0,0,0,6
7,0,3,0,3,24
8,3,1,1,1,81
9,4,2,4,0,187
10,9,3,0,0,154
11,9,6,1,3,248
12,15,16,19,1,598
13,8,7,23,3,1040
14,3,6,8,0,509
15,5,0,7,1,311
16,10,5,15,0,619
17,11,10,30,1,736
18,7,4,21,0,653
19,11,7,21,1,599
20,7,2,3,0,348
21,8,1,9,0,193
22,6,2,11,0,217
23,5,18,3,4,90
24,138,107,178,19,6832
