hour,GRN,RVRTB,PGPH5,PGPH2,SH
0,0,0,0,0,0
1,1,12,1,1,7
2,1,0,0,0,3
3,0,1,0,0,2
4,0,1,0,0,0
5,0,0,0,0,1
6,0,0,0,0,0
7,0,0,0,0,0
8,1,0,0,0,1
9,2,2,1,0,1
10,2,4,1,0,0
11,3,3,3,0,3
12,1,6,0,0,5
13,6,5,1,1,3
14,5,7,1,0,8
15,5,5,1,0,4
16,3,3,0,0,4
17,1,8,0,0,5
18,5,4,0,1,7
19,1,2,1,0,8
20,2,4,0,0,11
21,2,5,1,0,3
22,4,7,0,1,4
23,2,4,0,0,2
24,47,83,11,4,82
